ShowName,Links,Imdb,Reelgood,Genres,MaturityRating,RunningDate,Seasons,ReturningDate,Service,Country
WWII: Secrets From Space,https://reelgood.com/show/buried-secrets-of-wwii-2019,6.8,35.0,['Documentary'],,2019 - Present,1 Season,Returning: Date TBA,"['Hulu', 'fuboTV']",Country: United Kingdom ...More CountriesUnited KingdomAmerica
1st Look,https://reelgood.com/show/1st-look-2011,6.9,36.0,"['Action & Adventure', 'Documentary', 'Food', 'Travel']",Rated: All (TV-G),2008 - Present,9 Seasons,Returning: Date TBA,['fuboTV'],
Hulk Hogan's Celebrity Championship Wrestling,https://reelgood.com/show/hulk-hogans-celebrity-championship-wrestling-2008,6.3,35.0,"['Game Show', 'Reality']",,2008 - 2008,1 Season,Series Ended,,
Delayed Gratification Series,https://reelgood.com/show/delayed-gratification-series-2017,8.7,35.0,['Drama'],,2017 - Present,2 Seasons,Returning: Date TBA,['Prime Video'],
Totally Biased with W. Kamau Bell,https://reelgood.com/show/totally-biased-with-w-kamau-bell-2012,4.6,35.0,['Comedy'],Rated: 18+ (TV-MA),2012 - Present,3 Seasons,Returning: Date TBA,,
Secret Nazi Ruins,https://reelgood.com/show/secret-nazi-ruins-2019,6.1,35.0,['Documentary'],,2019 - Present,1 Season,Returning: Date TBA,['fuboTV'],
Brain Candy ,https://reelgood.com/show/brain-candy-tv-2017,,,,,,,,,
One Big Happy Family,https://reelgood.com/show/one-big-happy-family-2009,7.8,35.0,['Reality'],,2009 - 2010,2 Seasons,Series Ended,,
4th and Forever,https://reelgood.com/show/4th-and-forever-2011,6.2,35.0,"['Reality', 'Sport']",,2011 - 2011,1 Season,Series Ended,"['HBO', 'HBO MAX']",
Miffy's Adventures Big and Small,https://reelgood.com/show/miffys-adventures-big-and-small-2015,6.9,35.0,"['Animation', 'Children', 'Family']",,2015 - Present,4 Seasons,Returning: Date TBA,['fuboTV'],
Yellowstone LIVE (,https://reelgood.com/show/yellowstone-live-2018,,,,,,,,,
We Are Men,https://reelgood.com/show/we-are-men-2013,5.6,35.0,['Comedy'],,2013 - 2013,1 Season,Series Ended,,Country: America
"I'm Dickens, He's Fenster",https://reelgood.com/show/im-dickens-hes-fenster-1962,7.5,35.0,['Comedy'],,1962 - 1963,1 Season,Series Ended,,
Dead on Arrival,https://reelgood.com/show/dead-on-arrival-2014,8.0,35.0,['Documentary'],,2014 - Present,1 Season,Returning: Date TBA,,
